Field name,Is local?,Source code line,Containing class,A method that uses it,Ordered recommendations
derivatives,false,83,org.apache.commons.math3.analysis.differentiation.SparseGradient,<init>,Changes the type from java.util.Map to unifiedMap(EclipseCollections)<hashedMap(ApacheCommonsCollections)<hashMap<linkedHashMap<treeMap<concurrentHashMap<staticBucketMap(ApacheCommonsCollections)<concurrentHashMap(EclipseCollections)<hashtable<synchronizedHashMap<synchronizedUnifiedMap(EclipseCollections)<synchronizedLinkedHashMap<concurrentSkipListMap<synchronizedTreeMap
bottomDiagonal,false,109,org.apache.commons.math3.analysis.interpolation.FieldHermiteInterpolator,addSamplePoint,Changes the type from java.util.List to treeList(ApacheCommonsCollections)<fastList(EclipseCollections)<arrayList<copyOnWriteArrayList<vector<synchronizedArrayList<synchronizedFastList(EclipseCollections)<nodeCachingLinkedList(ApacheCommonsCollections)<linkedList<synchronizedLinkedList
bottomDiagonal,false,101,org.apache.commons.math3.analysis.interpolation.HermiteInterpolator,addSamplePoint,Changes the type from java.util.List to treeList(ApacheCommonsCollections)<fastList(EclipseCollections)<arrayList<copyOnWriteArrayList<vector<synchronizedArrayList<synchronizedFastList(EclipseCollections)<nodeCachingLinkedList(ApacheCommonsCollections)<linkedList<synchronizedLinkedList
samples,false,181,org.apache.commons.math3.analysis.interpolation.MicrosphereInterpolatingFunction,<init>,Changes the type from java.util.Map to unifiedMap(EclipseCollections)<hashedMap(ApacheCommonsCollections)<hashMap<linkedHashMap<treeMap<staticBucketMap(ApacheCommonsCollections)<concurrentHashMap<concurrentHashMap(EclipseCollections)<hashtable<synchronizedHashMap<synchronizedUnifiedMap(EclipseCollections)<synchronizedLinkedHashMap<concurrentSkipListMap<synchronizedTreeMap
JACOBI_COEFFICIENTS,false,222,org.apache.commons.math3.analysis.polynomials.PolynomialsUtils,createJacobiPolynomial,Changes the type from java.util.Map to unifiedMap(EclipseCollections)<linkedHashMap<treeMap<hashedMap(ApacheCommonsCollections)<hashMap<synchronizedUnifiedMap(EclipseCollections)<concurrentHashMap<hashtable<concurrentHashMap(EclipseCollections)<synchronizedLinkedHashMap<concurrentSkipListMap<synchronizedHashMap<staticBucketMap(ApacheCommonsCollections)<synchronizedTreeMap
context,false,99,org.apache.commons.math3.exception.util.ExceptionContext,setValue,Changes the type from java.util.Map to unifiedMap(EclipseCollections)<hashedMap(ApacheCommonsCollections)<hashMap<linkedHashMap<treeMap<concurrentHashMap<concurrentHashMap(EclipseCollections)<hashtable<staticBucketMap(ApacheCommonsCollections)<synchronizedUnifiedMap(EclipseCollections)<synchronizedHashMap<synchronizedLinkedHashMap<concurrentSkipListMap<synchronizedTreeMap
observations,false,164,org.apache.commons.math3.fitting.CurveFitter,fit,Changes the type from java.util.List to fastList(EclipseCollections)<nodeCachingLinkedList(ApacheCommonsCollections)<treeList(ApacheCommonsCollections)<synchronizedArrayList<synchronizedFastList(EclipseCollections)<linkedList<synchronizedLinkedList<vector<copyOnWriteArrayList
surrounded,false,137,org.apache.commons.math3.geometry.euclidean.twod.NestedLoops,add,Changes the type from java.util.ArrayList to fastList(EclipseCollections)<nodeCachingLinkedList(ApacheCommonsCollections)<treeList(ApacheCommonsCollections)<linkedList
loops,true,714,org.apache.commons.math3.geometry.euclidean.twod.PolygonsSet,getVertices,Changes the type from java.util.ArrayList to treeList(ApacheCommonsCollections)<nodeCachingLinkedList(ApacheCommonsCollections)<linkedList<fastList(EclipseCollections)
list,false,69,org.apache.commons.math3.geometry.partitioning.NodesSet,iterator,Changes the type from java.util.List to fastList(EclipseCollections)<nodeCachingLinkedList(ApacheCommonsCollections)<treeList(ApacheCommonsCollections)<synchronizedArrayList<synchronizedFastList(EclipseCollections)<linkedList<synchronizedLinkedList<copyOnWriteArrayList<vector
clusters,false,249,org.apache.commons.math3.ml.clustering.FuzzyKMeansClusterer,getObjectiveFunctionValue,Changes the type from java.util.List to fastList(EclipseCollections)<treeList(ApacheCommonsCollections)<copyOnWriteArrayList<synchronizedArrayList<synchronizedFastList(EclipseCollections)<vector<nodeCachingLinkedList(ApacheCommonsCollections)<linkedList<synchronizedLinkedList
points,false,247,org.apache.commons.math3.ml.clustering.FuzzyKMeansClusterer,getObjectiveFunctionValue,Changes the type from java.util.List to fastList(EclipseCollections)<copyOnWriteArrayList<treeList(ApacheCommonsCollections)<synchronizedArrayList<synchronizedFastList(EclipseCollections)<vector<nodeCachingLinkedList(ApacheCommonsCollections)<linkedList<synchronizedLinkedList
hit,true,159,org.apache.commons.math3.ml.neuralnet.MapUtils,computeHitHistogram,Changes the type from java.util.HashMap to unifiedMap(EclipseCollections)<linkedHashMap<treeMap<hashedMap(ApacheCommonsCollections)
neighbours,true,113,org.apache.commons.math3.ml.neuralnet.sofm.KohonenUpdateAction,update,Changes the type from java.util.HashSet to treeSet<linkedHashSet
hParam,false,60,org.apache.commons.math3.ode.ParameterJacobianWrapper,<init>,Changes the type from java.util.Map to unifiedMap(EclipseCollections)<hashedMap(ApacheCommonsCollections)<hashMap<linkedHashMap<treeMap<concurrentHashMap<staticBucketMap(ApacheCommonsCollections)<concurrentHashMap(EclipseCollections)<hashtable<synchronizedUnifiedMap(EclipseCollections)<synchronizedHashMap<synchronizedLinkedHashMap<concurrentSkipListMap<synchronizedTreeMap
CACHE,false,191,org.apache.commons.math3.ode.nonstiff.AdamsNordsieckTransformer,getInstance,Changes the type from java.util.Map to unifiedMap(EclipseCollections)<linkedHashMap<treeMap<hashedMap(ApacheCommonsCollections)<hashMap<synchronizedUnifiedMap(EclipseCollections)<concurrentHashMap<hashtable<concurrentHashMap(EclipseCollections)<synchronizedLinkedHashMap<concurrentSkipListMap<synchronizedHashMap<staticBucketMap(ApacheCommonsCollections)<synchronizedTreeMap
linearConstraints,false,42,org.apache.commons.math3.optim.linear.LinearConstraintSet,<init>,Changes the type from java.util.Set to treeSet<linkedHashSet<hashSet<unifiedSet(Eclipse Collections)<treeSortedSet(Eclipse Collections)<synchronizedHashSet<synchronizedLinkedHashSet<setFromConcurrentHashMap<concurrentSkipListSet<synchronizedTreeSet<synchronizedUnifiedSet(Eclipse Collections)<synchronizedTreeSortedSet(Eclipse Collections)
usedBasicRows,true,468,org.apache.commons.math3.optim.linear.SimplexTableau,getSolution,Changes the type from java.util.HashSet to treeSet<linkedHashSet
columnLabels,false,161,org.apache.commons.math3.optim.linear.SimplexTableau,initializeColumnLabels,Changes the type from java.util.List to treeList(ApacheCommonsCollections)<fastList(EclipseCollections)<arrayList<nodeCachingLinkedList(ApacheCommonsCollections)<linkedList<vector<synchronizedArrayList<synchronizedFastList(EclipseCollections)<synchronizedLinkedList<copyOnWriteArrayList
observations,false,179,org.apache.commons.math3.optimization.fitting.CurveFitter,fit,Changes the type from java.util.List to fastList(EclipseCollections)<nodeCachingLinkedList(ApacheCommonsCollections)<treeList(ApacheCommonsCollections)<synchronizedArrayList<synchronizedFastList(EclipseCollections)<linkedList<copyOnWriteArrayList<synchronizedLinkedList<vector
columnLabels,false,159,org.apache.commons.math3.optimization.linear.SimplexTableau,initializeColumnLabels,Changes the type from java.util.List to treeList(ApacheCommonsCollections)<fastList(EclipseCollections)<arrayList<nodeCachingLinkedList(ApacheCommonsCollections)<linkedList<vector<synchronizedArrayList<synchronizedFastList(EclipseCollections)<synchronizedLinkedList<copyOnWriteArrayList
basicRows,true,425,org.apache.commons.math3.optimization.linear.SimplexTableau,getSolution,Changes the type from java.util.HashSet to treeSet<linkedHashSet
binStats,false,439,org.apache.commons.math3.random.EmpiricalDistribution,fillBinStats,Changes the type from java.util.List to treeList(ApacheCommonsCollections)<fastList(EclipseCollections)<arrayList<copyOnWriteArrayList<vector<synchronizedArrayList<synchronizedFastList(EclipseCollections)<nodeCachingLinkedList(ApacheCommonsCollections)<linkedList<synchronizedLinkedList
map,false,81,org.apache.commons.math3.util.TransformerMap,getTransformer,Changes the type from java.util.Map to unifiedMap(EclipseCollections)<linkedHashMap<treeMap<hashedMap(ApacheCommonsCollections)<hashMap<synchronizedUnifiedMap(EclipseCollections)<concurrentSkipListMap<synchronizedLinkedHashMap<hashtable<synchronizedTreeMap<concurrentHashMap<synchronizedHashMap<concurrentHashMap(EclipseCollections)<staticBucketMap(ApacheCommonsCollections)
